Rol_ID,permisos_ID
100,997
100,998
100,999
100,1000
100,1001
100,1002
100,1003
100,1004
100,1005
100,1006
100,1007
100,1008
100,1009
100,1010
100,1011
100,1012
100,1013
100,1014
100,1015
100,1016
100,1017
100,1018
100,1019
100,1020
100,1021
100,1022
100,1023
100,1024
100,1025
100,1026
100,1027
100,1028
100,1029
100,1030
100,1031
100,1032
100,1033
100,1034
100,1035
100,1036
100,1037
100,1038
100,1039
100,1040
100,1041
100,1042
100,1043
100,1044
100,1045
100,1046
100,1047
100,1048
100,1049
100,1050
100,1051
